time;acc_x;acc_y;acc_z;gyr_x;gyr_y;gyr_z
26.897000;-0.116052;10.435100;2.630908;-1.981341;1.803274;-0.315359
27.015000;0.011366;9.546764;0.516850;-0.984868;-0.119730;-0.173638
27.175000;1.194018;10.395020;0.841675;-0.741590;-0.114995;0.136223
27.327000;1.570888;13.654044;-2.331208;-1.499063;0.197004;0.472352
27.447000;-2.164308;8.238488;2.751148;-3.091894;-1.829694;0.554360
27.606000;-3.942175;10.281361;8.434102;1.954158;1.316262;0.037110
27.758000;0.355334;8.453244;8.779266;5.161659;4.383874;-0.222813
27.879000;0.176471;9.993624;4.228716;0.972497;-0.139735;-0.915687
28.039000;-0.300299;10.138988;1.747359;-1.862681;0.956310;0.135307
28.189000;0.395414;9.592826;-0.599402;-0.084299;-0.160963;0.269239
28.351000;0.693919;11.039886;-4.158128;-0.066126;-0.530995;0.285427
28.472000;2.313859;7.687541;5.312665;-1.014189;-3.816992;-0.451277
28.631000;1.377668;10.218549;-1.119841;0.530536;-1.634065;-0.144775
28.782000;1.046262;9.671191;-0.407976;0.107970;-0.434172;0.099266
28.902000;1.222732;9.876375;0.235693;-0.176998;-0.006414;0.072998
29.062000;0.963709;9.745368;0.223131;0.000916;-0.210290;-0.065057
29.213000;-0.653241;9.685548;-0.051446;0.203265;-0.411112;-0.324828
29.333000;0.132802;9.607781;-0.659821;0.233351;-0.058032;-0.160047
29.494000;-0.653839;9.483355;-0.939183;0.244041;0.052840;-0.132558
29.644000;0.274576;9.710074;-1.322034;0.171959;0.078191;-0.067501
29.805000;-0.567099;10.722239;-1.477568;0.086437;-0.441656;-0.207083
29.924000;-0.649651;10.454242;-0.534198;-0.300088;-0.220675;-0.099876
30.075000;-1.029512;10.350753;-0.036491;-0.559400;0.202960;-0.133321
30.236000;-1.942374;11.486745;1.770689;-0.657749;-0.001833;-0.069333
30.355000;-3.351746;9.369696;2.331208;-1.285566;0.142332;-0.636674
30.515000;-4.087539;8.895916;2.849852;0.968680;0.252746;-0.974483
30.667000;-5.380860;8.029117;1.877768;0.237016;1.248609;-0.897514
30.788000;-4.618746;6.428916;1.996811;-1.186453;1.071458;-0.906219
30.947000;-4.223930;5.717650;5.148756;-1.570535;-0.629649;-0.296575
31.099000;-1.405185;5.590232;7.311868;-1.607339;-1.450041;1.061836
31.219000;1.847857;5.874978;7.792227;-0.944245;-1.157895;1.796249
31.379000;-0.544367;6.500103;7.207182;0.056352;0.271682;0.939511
31.530000;0.263809;7.152147;6.292525;0.790460;0.871094;0.245721
31.692000;-0.090329;7.670193;5.531010;0.651030;0.807564;0.219453
