[1.38923e+00],[2.41961e-01],[2.04336e-02]
[1.38836e+00],[2.41346e-01],[2.04091e-02]
[1.38751e+00],[2.40746e-01],[2.03751e-02]
[1.38668e+00],[2.40163e-01],[2.03321e-02]
[1.38587e+00],[2.39599e-01],[2.02804e-02]
[1.38508e+00],[2.39051e-01],[2.02221e-02]
[1.38431e+00],[2.38518e-01],[2.01600e-02]
[1.38355e+00],[2.37999e-01],[2.00960e-02]
[1.38282e+00],[2.37496e-01],[2.00296e-02]
[1.38209e+00],[2.37007e-01],[1.99606e-02]
[1.38137e+00],[2.36530e-01],[1.98899e-02]
[1.38067e+00],[2.36064e-01],[1.98176e-02]
[1.37997e+00],[2.35610e-01],[1.97432e-02]
[1.37929e+00],[2.35165e-01],[1.96654e-02]
[1.37862e+00],[2.34727e-01],[1.95844e-02]
[1.37796e+00],[2.34295e-01],[1.95005e-02]
[1.37732e+00],[2.33870e-01],[1.94143e-02]
[1.37669e+00],[2.33456e-01],[1.93274e-02]
[1.37607e+00],[2.33051e-01],[1.92393e-02]
[1.37547e+00],[2.32653e-01],[1.91490e-02]
[1.37487e+00],[2.32257e-01],[1.90550e-02]
[1.37428e+00],[2.31867e-01],[1.89583e-02]
[1.37370e+00],[2.31486e-01],[1.88620e-02]
[1.37313e+00],[2.31117e-01],[1.87685e-02]
[1.37256e+00],[2.30761e-01],[1.86787e-02]
[1.37200e+00],[2.30414e-01],[1.85900e-02]
[1.37144e+00],[2.30072e-01],[1.85023e-02]
[1.37089e+00],[2.29736e-01],[1.84169e-02]
[1.37035e+00],[2.29406e-01],[1.83335e-02]
[1.36981e+00],[2.29082e-01],[1.82508e-02]
[1.36927e+00],[2.28763e-01],[1.81686e-02]
[1.36873e+00],[2.28449e-01],[1.80889e-02]
[1.36821e+00],[2.28142e-01],[1.80126e-02]
[1.36768e+00],[2.27841e-01],[1.79384e-02]
[1.36716e+00],[2.27541e-01],[1.78650e-02]
[1.36663e+00],[2.27243e-01],[1.77938e-02]
[1.36610e+00],[2.26948e-01],[1.77255e-02]
[1.36557e+00],[2.26655e-01],[1.76600e-02]
[1.36503e+00],[2.26363e-01],[1.75976e-02]
[1.36449e+00],[2.26072e-01],[1.75379e-02]
[1.36394e+00],[2.25780e-01],[1.74796e-02]
[1.36338e+00],[2.25488e-01],[1.74214e-02]
[1.36468e+00],[2.26173e-01],[1.75603e-02]
[1.36604e+00],[2.26876e-01],[1.77024e-02]
[1.36746e+00],[2.27597e-01],[1.78501e-02]
[1.36893e+00],[2.28338e-01],[1.80042e-02]
[1.37046e+00],[2.29099e-01],[1.81638e-02]
[1.37205e+00],[2.29883e-01],[1.83261e-02]
[1.37371e+00],[2.30695e-01],[1.84883e-02]
[1.37543e+00],[2.31541e-01],[1.86497e-02]
[1.37723e+00],[2.32422e-01],[1.88106e-02]
[1.37911e+00],[2.33340e-01],[1.89713e-02]
[1.38109e+00],[2.34289e-01],[1.91302e-02]
[1.38317e+00],[2.35269e-01],[1.92785e-02]
[1.38536e+00],[2.36285e-01],[1.94023e-02]
[1.38765e+00],[2.37338e-01],[1.94901e-02]
[1.39008e+00],[2.38429e-01],[1.95338e-02]
[1.39264e+00],[2.39560e-01],[1.95286e-02]
[1.39536e+00],[2.40729e-01],[1.94696e-02]
[1.39824e+00],[2.41927e-01],[1.93509e-02]
[1.40130e+00],[2.43141e-01],[1.91700e-02]
[1.40454e+00],[2.44360e-01],[1.89300e-02]
[1.40797e+00],[2.45570e-01],[1.86380e-02]
[1.41162e+00],[2.46774e-01],[1.83323e-02]
[1.41547e+00],[2.48005e-01],[1.81085e-02]
[1.41955e+00],[2.49313e-01],[1.81170e-02]
[1.42389e+00],[2.50757e-01],[1.85875e-02]
[1.42855e+00],[2.52389e-01],[1.97662e-02]
[1.43358e+00],[2.54211e-01],[2.17515e-02]
[1.43900e+00],[2.56174e-01],[2.44711e-02]
[1.44485e+00],[2.58248e-01],[2.78093e-02]
[1.45119e+00],[2.60463e-01],[3.17149e-02]
[1.45813e+00],[2.62881e-01],[3.61976e-02]
[1.46577e+00],[2.65517e-01],[4.12450e-02]
[1.47421e+00],[2.68360e-01],[4.67847e-02]
[1.48357e+00],[2.71411e-01],[5.26955e-02]
[1.49392e+00],[2.74648e-01],[5.87990e-02]
[1.50530e+00],[2.78014e-01],[6.47237e-02]
[1.51764e+00],[2.81439e-01],[7.01926e-02]
[1.53093e+00],[2.84899e-01],[7.53897e-02]
[1.51710e+00],[2.81640e-01],[7.11815e-02]
[1.53282e+00],[2.85385e-01],[7.59190e-02]
[1.54967e+00],[2.89334e-01],[8.01771e-02]
[1.56741e+00],[2.93466e-01],[8.38089e-02]
[1.58586e+00],[2.97787e-01],[8.67263e-02]
[1.60491e+00],[3.02297e-01],[8.88873e-02]
[1.62451e+00],[3.06980e-01],[9.02995e-02]
[1.64465e+00],[3.11814e-01],[9.10073e-02]
[1.66536e+00],[3.16774e-01],[9.10721e-02]
[1.68666e+00],[3.21848e-01],[9.05567e-02]
[1.70857e+00],[3.27029e-01],[8.95117e-02]
[1.73105e+00],[3.32304e-01],[8.79690e-02]
[1.75408e+00],[3.37654e-01],[8.59403e-02]
[1.77760e+00],[3.43056e-01],[8.34248e-02]
[1.80156e+00],[3.48481e-01],[8.04221e-02]
[1.82593e+00],[3.53907e-01],[7.69448e-02]
[1.85071e+00],[3.59320e-01],[7.30314e-02]
[1.87591e+00],[3.64719e-01],[6.87514e-02]
[1.90153e+00],[3.70108e-01],[6.41911e-02]
[1.92759e+00],[3.75490e-01],[5.94329e-02]
[1.95407e+00],[3.80859e-01],[5.45427e-02]
[1.98095e+00],[3.86203e-01],[4.95704e-02]
[2.00819e+00],[3.91507e-01],[4.45578e-02]
[2.03575e+00],[3.96754e-01],[3.95443e-02]
[2.06361e+00],[4.01940e-01],[3.45691e-02]
[2.09174e+00],[4.07071e-01],[2.96849e-02]
[2.12010e+00],[4.12156e-01],[2.49663e-02]
[2.14867e+00],[4.17193e-01],[2.04943e-02]
[2.17742e+00],[4.22165e-01],[1.63345e-02]
[2.20629e+00],[4.27048e-01],[1.25220e-02]
[2.23525e+00],[4.31821e-01],[9.06572e-03]
[2.26426e+00],[4.36454e-01],[5.97527e-03]
[2.29328e+00],[4.40909e-01],[3.28470e-03]
[2.32228e+00],[4.45151e-01],[1.05256e-03]
[2.35122e+00],[4.49159e-01],[-6.48508e-04]
[2.38005e+00],[4.52925e-01],[-1.74969e-03]
[2.40872e+00],[4.56449e-01],[-2.19923e-03]
[2.43719e+00],[4.59729e-01],[-1.96329e-03]
[2.46536e+00],[4.62754e-01],[-1.02510e-03]
[2.49318e+00],[4.65519e-01],[6.17699e-04]
[2.52051e+00],[4.68028e-01],[2.94971e-03]
[2.54724e+00],[4.70297e-01],[5.92794e-03]
[2.57328e+00],[4.72349e-01],[9.47497e-03]
[2.59854e+00],[4.74217e-01],[1.34774e-02]
[2.62292e+00],[4.75935e-01],[1.77977e-02]
[2.64635e+00],[4.77532e-01],[2.22907e-02]
[2.66873e+00],[4.79007e-01],[2.68048e-02]
[2.68997e+00],[4.80348e-01],[3.11726e-02]
[2.70990e+00],[4.81557e-01],[3.51937e-02]
[2.72832e+00],[4.82664e-01],[3.86107e-02]
[2.74509e+00],[4.83708e-01],[4.11230e-02]
[2.76021e+00],[4.84687e-01],[4.24768e-02]
[2.77384e+00],[4.85532e-01],[4.25703e-02]
[2.78616e+00],[4.86146e-01],[4.14917e-02]
[2.79730e+00],[4.86495e-01],[3.94695e-02]
[2.80730e+00],[4.86631e-01],[3.67748e-02]
[2.81621e+00],[4.86621e-01],[3.36335e-02]
[2.82408e+00],[4.86484e-01],[3.01843e-02]
[2.83103e+00],[4.86195e-01],[2.64501e-02]
[2.83718e+00],[4.85666e-01],[2.23312e-02]
[2.84277e+00],[4.84801e-01],[1.77117e-02]
[2.84804e+00],[4.83656e-01],[1.27642e-02]
[2.85320e+00],[4.82414e-01],[7.98407e-03]
[2.85840e+00],[4.81192e-01],[3.64545e-03]
[2.86355e+00],[4.79978e-01],[-4.17021e-04]
[2.86852e+00],[4.78759e-01],[-4.37964e-03]
[2.87319e+00],[4.77652e-01],[-8.13623e-03]
[2.87754e+00],[4.76810e-01],[-1.15123e-02]
[2.88161e+00],[4.76286e-01],[-1.45435e-02]
[2.88548e+00],[4.76075e-01],[-1.73881e-02]
[2.88923e+00],[4.76147e-01],[-2.01378e-02]
[2.89289e+00],[4.76422e-01],[-2.28057e-02]
[2.89646e+00],[4.76802e-01],[-2.53793e-02]
[2.89993e+00],[4.77222e-01],[-2.78022e-02]
[2.90326e+00],[4.77689e-01],[-2.98762e-02]
[2.90632e+00],[4.78282e-01],[-3.14167e-02]
[2.90915e+00],[4.79046e-01],[-3.25493e-02]
[2.90358e+00],[4.77189e-01],[-3.07255e-02]
[2.89824e+00],[4.75313e-01],[-2.92096e-02]
[2.89318e+00],[4.73350e-01],[-2.79685e-02]
[2.88827e+00],[4.71298e-01],[-2.68688e-02]
[2.88348e+00],[4.69206e-01],[-2.58737e-02]
[2.87884e+00],[4.67160e-01],[-2.49941e-02]
[2.87433e+00],[4.65164e-01],[-2.41985e-02]
[2.86993e+00],[4.63178e-01],[-2.34652e-02]
[2.86566e+00],[4.61252e-01],[-2.28094e-02]
[2.86155e+00],[4.59410e-01],[-2.22339e-02]
[2.85759e+00],[4.57619e-01],[-2.17204e-02]
[2.85374e+00],[4.55883e-01],[-2.12589e-02]
[2.85002e+00],[4.54211e-01],[-2.08491e-02]
[2.84642e+00],[4.52605e-01],[-2.04856e-02]
[2.84293e+00],[4.51070e-01],[-2.01588e-02]
[2.83953e+00],[4.49599e-01],[-1.98622e-02]
[2.83622e+00],[4.48183e-01],[-1.95929e-02]
